score,min_cluster_size,min_samples
0.437,1089,629
0.437,1090,629
0.437,1052,629
0.437,1056,631
0.437,1066,631
0.437,1059,611
0.437,1096,629
0.437,1030,629
0.437,1073,611
0.437,1032,631
0.436,1086,645
0.436,1040,645
0.436,1095,645
0.435,825,611
0.435,865,631
0.435,844,629
0.435,873,611
0.435,1022,607
0.435,904,629
0.435,1025,606
0.435,937,629
0.435,830,631
0.434,894,644
0.434,910,644
0.434,884,645
0.434,959,644
0.434,894,645
0.431,1019,651
0.431,1012,839
0.431,1027,839
0.43,1049,607
0.43,992,611
0.43,1083,605
0.43,976,631
0.43,967,629
0.43,1000,629
0.43,1098,607
0.43,1086,606
0.43,1074,605
0.43,1078,605
0.429,1085,616
0.429,982,644
0.429,992,645
0.429,1041,617
0.429,1079,715
0.429,1030,616
0.429,1068,617
0.429,968,645
0.428,880,606
0.428,1028,648
0.428,858,606
0.428,1088,648
0.428,915,605
0.428,1076,751
0.428,933,605
0.428,869,605
0.427,932,617
0.427,1032,650
0.427,893,715
0.427,909,715
0.427,1092,801
0.427,1087,646
0.427,1073,658
0.427,1064,801
0.427,1095,658
0.427,846,617
0.427,1051,801
0.427,935,616
0.427,949,715
0.426,1053,651
0.426,1077,839
0.426,1060,839
0.426,1099,651
0.426,1055,839
0.426,1068,800
0.426,1033,839
0.426,846,751
0.426,1080,800
0.426,949,648
0.425,866,646
0.425,934,800
0.425,952,650
0.425,864,650
0.425,951,658
0.425,919,650
0.425,891,650
0.425,861,646
0.425,947,658
0.425,816,658
0.425,845,800
0.425,958,658
0.425,866,800
0.425,920,658
0.425,923,800
0.425,869,801
0.425,895,658
0.425,866,801
0.425,884,650
0.425,872,801
0.425,861,800
0.424,935,839
0.424,1024,621
0.424,1020,755
0.424,878,651
0.424,842,839
0.424,873,651
0.424,870,839
0.424,818,651
0.424,1025,620
0.423,996,606
0.423,1073,709
0.422,837,709
0.422,940,709
0.422,968,616
0.422,1052,749
0.422,974,715
0.422,1088,749
0.422,1006,617
0.421,1084,723
0.421,957,667
0.421,885,667
0.421,1050,723
0.421,911,667
0.421,1053,723
0.421,1040,857
0.421,1011,648
0.421,975,751
0.421,979,648
0.421,850,667
0.421,900,667
0.421,854,667
0.42,1061,621
0.42,975,658
0.42,883,749
0.42,1039,744
0.42,1047,744
0.42,998,800
0.42,907,749
0.42,989,658
0.42,1014,650
0.42,833,749
0.42,1051,834
0.42,1057,834
0.42,1062,744
0.42,913,749
0.42,1039,834
0.42,1060,621
0.42,823,749
0.42,859,749
0.419,1087,849
0.419,1014,722
0.419,910,723
0.419,926,857
0.419,1051,639
0.419,938,713
0.419,857,857
0.419,937,723
0.419,1042,849
0.419,941,713
0.419,981,839
0.419,1004,651
0.419,1046,635
0.419,841,723
0.419,872,713
0.419,1033,635
0.419,1001,651
0.419,1040,849
0.419,855,723
0.418,909,813
0.418,907,621
0.418,924,813
0.418,945,813
0.418,828,621
0.418,907,755
0.418,915,834
0.418,946,746
0.418,846,746
0.418,813,744
0.418,901,834
0.418,887,621
0.418,872,744
0.418,904,834
0.418,858,744
0.418,817,834
0.418,864,813
0.418,855,744
0.418,854,744
0.418,883,621
0.417,954,620
0.417,842,849
0.417,830,849
0.417,911,620
0.417,928,639
0.417,873,635
0.417,810,849
0.417,842,620
0.417,829,620
0.417,878,620
0.417,953,635
0.417,847,849
0.416,976,709
0.416,977,709
0.416,866,657
0.416,916,657
0.416,911,657
0.416,897,657
0.415,1054,728
0.415,1065,712
0.415,805,628
0.415,1096,728
0.415,805,631
0.415,1052,712
0.414,1064,743
0.414,1013,723
0.414,960,723
0.414,965,713
0.414,1040,722
0.414,1091,743
0.414,1033,722
0.414,1013,824
0.414,1061,741
0.414,801,629
0.414,1037,722
0.414,1069,722
0.413,920,728
0.413,858,728
0.413,817,712
0.413,1011,746
0.413,928,693
0.413,920,693
0.413,900,728
0.413,903,712
0.413,879,722
0.413,818,693
0.413,952,813
0.413,853,693
0.413,931,693
0.413,887,693
0.413,992,834
0.413,836,728
0.413,816,728
0.413,891,712
0.413,856,722
0.413,972,621
0.413,825,722
0.413,1069,660
0.413,915,712
0.413,858,712
0.413,927,693
0.413,871,722
0.413,891,693
0.413,952,712
0.412,941,743
0.412,838,743
0.412,1023,707
0.412,882,743
0.412,1034,614
0.412,986,635
0.412,1073,614
0.412,1019,699
0.412,1099,614
0.412,976,635
0.412,1078,623
0.412,1002,755
0.412,1085,614
0.412,1028,614
0.412,967,635
0.412,1096,622
0.411,813,660
0.411,1022,716
0.411,860,660
0.411,885,660
0.411,1024,716
0.411,883,660
0.41,824,622
0.41,926,632
0.41,875,614
0.41,938,623
0.41,958,623
0.41,839,623
0.41,836,622
0.41,854,623
0.41,904,632
0.41,856,623
0.41,840,622
0.409,1051,824
0.409,1019,733
0.409,1044,833
0.409,1056,824
0.409,1059,824
0.409,1086,833
0.409,1045,824
0.409,1066,833
0.408,976,693
0.408,1020,727
0.408,962,728
0.408,809,607
0.408,1021,802
0.408,1027,738
0.407,844,824
0.407,994,743
0.407,825,824
0.407,851,833
0.407,1069,699
0.407,922,833
0.407,892,824
0.407,882,833
0.407,811,833
0.407,966,741
0.407,962,741
0.407,809,824
0.407,1090,740
0.407,958,722
0.407,999,722
0.406,873,707
0.406,982,660
0.406,961,660
0.406,1032,716
0.406,1030,729
0.406,1019,721
0.406,838,707
0.406,983,660
0.405,823,740
0.405,891,699
0.405,824,699
0.405,809,652
0.405,1014,614
0.405,855,740
0.405,827,740
0.405,1001,614
0.405,1069,758
0.405,813,740
0.405,1018,726
0.405,849,699
0.405,1045,758
0.405,1009,622
0.405,859,740
0.405,1020,726
0.405,929,699
0.405,917,740
0.405,811,715
0.405,996,614
0.405,864,740
0.405,885,740
0.405,806,653
0.405,838,740
0.404,841,716
0.404,1049,738
0.404,1075,733
0.404,872,729
0.404,889,748
0.404,1044,706
0.404,899,716
0.404,954,716
0.404,1048,803
0.404,834,748
0.404,946,716
0.404,815,748
0.404,861,748
0.404,1057,738
0.404,819,748
0.404,829,729
0.404,1083,706
0.404,943,729
0.404,1052,738
0.403,1046,819
0.403,801,807
0.403,907,758
0.403,805,807
0.403,1036,831
0.403,1094,727
0.403,1044,819
0.403,1085,819
0.403,988,810
0.403,1072,802
0.403,1085,802
0.403,1010,810
0.403,1049,819
0.403,1057,727
0.403,868,758
0.403,1059,727
0.403,1028,752
0.403,964,810
0.402,933,802
0.402,847,803
0.402,933,803
0.402,824,802
0.402,859,706
0.402,895,733
0.402,825,706
0.402,1000,833
0.402,836,802
0.402,1016,754
0.402,942,733
0.402,857,738
0.402,909,803
0.402,852,831
0.402,825,733
0.402,898,738
0.402,914,802
0.402,847,733
0.402,907,802
0.402,968,824
0.402,983,833
0.402,867,803
0.402,931,802
0.402,931,803
0.401,855,819
0.401,830,752
0.401,914,727
0.401,894,727
0.401,811,819
0.401,848,752
0.401,904,752
0.401,803,819
0.401,1091,726
0.401,1055,721
0.401,943,727
0.401,817,819
0.401,949,727
0.401,961,707
0.401,882,752
0.401,1064,726
0.401,920,752
0.399,970,716
0.399,840,721
0.399,1003,716
0.399,969,748
0.399,857,721
0.399,964,716
0.399,976,716
0.399,965,748
0.399,984,748
0.399,805,739
0.399,888,721
0.399,871,726
0.398,1032,855
0.398,1072,855
0.398,989,758
0.398,1034,634
0.398,1062,628
0.398,1086,634
0.398,804,799
0.398,1011,758
0.398,800,627
0.398,1067,855
0.397,801,736
0.397,1061,754
0.397,971,831
0.397,1095,754
0.397,1007,733
0.397,809,725
0.397,1083,754
0.397,807,725
0.397,808,723
0.397,1008,803
0.397,970,803
0.397,966,738
0.397,1029,754
0.397,1066,754
0.397,805,725
0.397,809,708
0.397,1007,831
0.397,805,635
0.397,984,803
0.397,1050,638
0.397,978,831
0.397,1083,710
0.396,945,638
0.396,944,634
0.396,905,634
0.396,862,855
0.396,969,819
0.396,815,710
0.396,953,710
0.396,924,628
0.396,845,638
0.396,819,855
0.396,873,628
0.396,871,634
0.396,940,628
0.396,1074,753
0.396,1038,756
0.396,1031,662
0.396,837,710
0.396,832,710
0.396,938,638
0.396,923,628
0.396,1063,753
0.396,816,710
0.396,855,628
0.396,909,634
0.396,983,727
0.396,935,628
0.396,888,638
0.395,1020,615
0.395,1022,615
0.395,880,754
0.395,933,754
0.395,878,754
0.395,911,754
0.395,929,754
0.394,887,756
0.394,872,662
0.394,897,662
0.394,980,726
0.394,929,753
0.394,818,662
0.394,980,721
0.394,903,756
0.394,871,662
0.392,1031,665
0.392,1042,665
0.391,1083,613
0.391,985,628
0.391,1007,634
0.391,1001,855
0.391,1009,634
0.39,833,665
0.39,1042,615
0.39,868,665
0.39,1043,615
0.39,910,665
0.39,1013,638
0.39,804,778
0.39,879,665
0.39,1099,636
0.39,1012,710
0.39,936,665
0.39,971,638
0.39,1052,636
0.389,1006,753
0.389,814,612
0.389,1057,653
0.389,1062,655
0.389,1045,653
0.389,1044,655
0.389,933,613
0.389,886,613
0.389,1052,652
0.389,879,613
0.389,809,622
0.389,1022,866
0.389,930,613
0.389,811,614
0.389,804,702
0.389,1075,643
0.389,1059,652
0.388,821,615
0.388,953,636
0.388,1016,662
0.388,982,662
0.388,810,647
0.388,815,636
0.388,1027,862
0.388,1011,829
0.388,888,636
0.388,960,662
0.387,872,642
0.387,955,643
0.387,823,653
0.387,874,642
0.387,1021,697
0.387,813,653
0.387,932,643
0.387,852,655
0.387,821,643
0.387,914,655
0.387,881,653
0.387,817,643
0.387,881,642
0.387,928,643
0.387,1028,823
0.387,895,653
0.387,856,652
0.387,839,643
0.387,841,652
0.387,1023,873
0.387,811,794
0.387,905,652
0.387,864,643
0.387,1031,823
0.387,842,643
0.386,1023,814
0.386,1024,618
0.385,1099,866
0.385,963,665
0.385,1018,826
0.385,998,665
0.385,1058,866
0.385,1016,830
0.385,1013,665
0.385,968,665
0.384,1068,865
0.384,1088,739
0.384,1034,807
